Datum;VPE_Gesamt;Komm_VPE;Voll;Displays;Lager
2015-08-19;11495;11468;27;0;MPS
2015-08-20;64402;62522;1880;0;DPS
2015-08-20;14909;11977;2932;0;MAN
2015-08-20;17323;17320;3;0;MPS
2015-08-21;55549;54264;1285;0;DPS
2015-08-21;9442;9421;21;0;MAN
2015-08-21;13264;13260;1;3;MPS
2015-08-22;28521;27663;858;0;DPS
2015-08-22;6584;5253;1331;0;MAN
2015-08-22;7515;7513;2;0;MPS
2015-08-24;70473;68747;1726;0;DPS
2015-08-24;17637;13766;3871;0;MAN
2015-08-24;17338;17338;0;0;MPS
2015-08-25;57202;55489;1713;0;DPS
2015-08-25;11066;10938;128;0;MAN
2015-08-25;13747;13746;1;0;MPS
2015-08-26;63367;60323;3044;0;DPS
2015-08-26;11242;11223;19;0;MAN
2015-08-26;14312;14114;198;0;MPS
2015-08-27;69415;66853;2562;0;DPS
2015-08-27;12744;12707;37;0;MAN
2015-08-27;18047;18035;12;0;MPS
2015-08-28;56573;55220;1353;0;DPS
2015-08-28;11176;11167;9;0;MAN
2015-08-28;14289;14289;0;0;MPS
2015-08-29;32865;31912;953;0;DPS
2015-08-29;9700;5916;3784;0;MAN
2015-08-29;8516;8484;32;0;MPS
2015-08-31;79931;78106;1825;0;DPS
2015-08-31;14548;14175;373;0;MAN
2015-08-31;20668;20665;3;0;MPS
2015-09-01;55281;53258;2023;0;DPS
2015-09-01;11073;11065;8;0;MAN
2015-09-01;15411;15411;0;0;MPS
2015-09-02;60138;58133;2005;0;DPS
2015-09-02;15833;13024;2809;0;MAN
2015-09-02;16832;16832;0;0;MPS
2015-09-03;78058;74708;3350;0;DPS
2015-09-03;15559;15142;417;0;MAN
2015-09-03;22214;21321;893;0;MPS
2015-09-04;61053;59649;1404;0;DPS
2015-09-04;11329;11320;9;0;MAN
2015-09-04;14992;14992;0;0;MPS
2015-09-05;33951;32805;1146;0;DPS
2015-09-05;6680;5999;681;0;MAN
2015-09-05;9211;8357;854;0;MPS
2015-09-07;80966;78782;2184;0;DPS
2015-09-07;14912;13929;983;0;MAN
2015-09-07;19268;19003;255;10;MPS
2015-09-08;55029;53401;1628;0;DPS
2015-09-08;11707;11696;11;0;MAN
2015-09-08;15191;15190;1;0;MPS
2015-09-09;51646;49957;1689;0;DPS
2015-09-09;11145;11014;131;0;MAN
2015-09-09;14286;14286;0;0;MPS
2015-09-10;68330;66583;1747;0;DPS
2015-09-10;19035;14195;4840;0;MAN
2015-09-10;18444;18442;2;0;MPS
2015-09-11;54835;53342;1493;0;DPS
2015-09-11;11307;11298;9;0;MAN
2015-09-11;14293;14289;4;0;MPS
2015-09-12;34854;31908;2946;0;DPS
2015-09-12;6138;6134;4;0;MAN
2015-09-12;7924;7902;22;0;MPS
2015-09-14;76121;74418;1703;0;DPS
2015-09-14;13871;13824;47;0;MAN
2015-09-14;18299;18299;0;0;MPS
